Gene names,Day_00,Day_01,Day_02,Day_03,Day_05,Day_07,Day_10,Day_14,Day_18,Day_21,Max intensity change,Category,,Category,Count
Cdk8,0,-1.05933,-0.754948,-1.39741,-1.30968,-2.24791,-2.10321,-1.93319,-2.06024,-2.704,-2.704,-3,,,
Celsr2,0,0.310863,0.238028,-0.217386,-0.686554,-1.28661,-2.06801,-2.69606,-2.28856,-2.20668,-2.69606,-3,,,
Ammecr1l,0,-0.917825,-1.31232,-1.31384,-1.7325,-1.64501,-1.79612,-2.04102,-1.86636,-2.69002,-2.69002,-3,,,
Cpd,0,-0.841824,-0.679455,-1.28928,-1.84265,-2.26774,-2.51129,-2.44372,-2.68996,-2.60908,-2.68996,-3,,,
Mnat1,0,-1.52822,-1.87342,-1.67397,-2.6776,-1.83558,-2.63759,-1.62218,-1.75314,-1.71391,-2.6776,-3,,,
Lrrc41,0,-0.424785,-1.15553,-1.57191,-1.79114,-2.67094,-1.88296,-1.92856,-2.34555,-2.62376,-2.67094,-3,,,
Zak,0,0.0107203,-1.32809,-1.34187,-1.81951,-2.11793,-1.96139,-2.67061,-2.18302,-2.37366,-2.67061,-3,,,
Marcksl1,0,-0.000892639,-0.477449,-0.412916,-1.15792,-1.13323,-1.84631,-2.0989,-2.63367,-2.66306,-2.66306,-3,,,
Apbb2,0,-0.568943,-0.616854,-1.60992,-0.978996,-1.76842,-1.88214,-1.64959,-1.53852,-2.66249,-2.66249,-3,,,
Gbp2,0,-1.0732,-1.37662,-1.84292,-1.97795,-2.15693,-1.7693,-1.73106,-2.66133,-2.12867,-2.66133,-3,,,
