NAME	TITLE	SCORE	
Slc8b1		0.74476826	
Zfand2a		0.74294233	
Etv5		0.7427466	
Ttc7b		0.73864216	
Lrrk2		0.73864216	
Maoa		0.73864216	
Plxnd1		0.73864216	
Mgmt		0.73864216	
Anxa8		0.73460037	
Sptbn2		0.7344905	
Ovol1		0.72954	
Plekhm3		0.7279949	
Palld		0.72471195	
Eps8l1		0.723186	
Cdca8		0.7219634	
Osbpl8		0.72123915	
Adk		0.7204184	
Dnase2a		0.7199461	
Adam19		0.7199056	
Slc11a2		0.7195333	
6430548M08Rik		0.7191272	
Dennd5a		0.7190799	
Incenp		0.7181781	
Mettl27		0.7179827	
H1fx		0.7177836	
Tgfb1		0.71768254	
Dynll1		0.7165484	
Atp6v0e		0.7144653	
Rgcc		0.71255296	
Mllt11		0.710073	
Ybx3		0.7096233	
Lpar5		0.70864743	
Tpcn1		0.70858496	
Mvk		0.7085296	
Sfta2		0.7082685	
Pld3		0.7072147	
Tbc1d10a		0.70630145	
Rasa3		0.7057989	
Bnipl		0.7039527	
Psat1		0.7019615	
Chst12		0.7019304	
Dnmt3a		0.7006743	
Yif1b		0.69843584	
Gsto2		0.69735396	
Rnf152		0.69486976	
Ston2		0.6934534	
Rhog		0.6933182	
Crlf3		0.6933182	
Cflar		0.69266677	
Slc27a4		0.6915495	
Hist1h2ag		0.69133645	
Eif4ebp1		0.6912423	
Ier3		0.69087476	
Racgap1		0.6891735	
Mcl1		0.6886015	
Pkm		0.68572706	
Rrm1		0.6853439	
Nfkb1		0.6851128	
Rab3il1		0.6846023	
Arhgef18		0.68364817	
Col4a1		0.6820928	
H2-Eb1		0.6807834	
Ttc7		0.6757545	
Igf1		0.67391646	
Epas1		0.67320096	
Kcnj2		0.672553	
Ppp2ca		0.670746	
Msrb1		0.6692854	
Fads3		0.66863775	
Rap2a		0.6682528	
Ckap4		0.66767967	
Dgka		0.66741866	
Cldn2		0.66526896	
Met		0.6644412	
Casp12		0.66359144	
Acsl4		0.6625111	
Pdzd2		0.66188496	
P2rx7		0.66063964	
Nradd		0.6601402	
Pdxk		0.6598651	
Arhgap10		0.65752643	
Xpr1		0.65528643	
Atox1		0.65135777	
Lrp12		0.6502042	
H2-Q6		0.64998454	
Casp1		0.64892805	
Nrp2		0.6487567	
Cdk6		0.648372	
Stard5		0.64638364	
Uchl3		0.6455328	
Dtx3l		0.6453928	
Tmem125		0.6450428	
Inka2		0.6428832	
Arhgap31		0.64259547	
Ttc9		0.6423685	
Ctsa		0.64071816	
Trpv4		0.64015234	
Gstt2		0.6391065	
Slc16a3		0.6391065	
Mal2		0.6389452	
Rnf145		0.6388466	
Sh3pxd2a		0.63714	
Tm7sf2		0.6351376	
Elovl1		0.6346587	
Fgl2		0.6336726	
Cd99l2		0.63306344	
H2-D1		0.6317551	
Dlg3		0.6298658	
Lsp1		0.629375	
Specc1		0.6293435	
Txndc17		0.6279981	
Mfsd5		0.625901	
Ikbke		0.6257481	
Mad2l1		0.6243095	
Pgk1		0.6241615	
Nudt19		0.6240824	
Dab2		0.62316495	
Egln3		0.62262475	
Hist1h2bb		0.6194457	
Col3a1		0.618703	
AI413582		0.6174927	
Sipa1		0.6168732	
Igsf3		0.61643624	
Ddit3		0.6157854	
Ppic		0.61525977	
Il1r1		0.6144301	
Slc3a2		0.6127792	
Slc6a8		0.6113036	
Baz1a		0.6111524	
Adcy7		0.61088663	
Tk1		0.61068946	
Kifc3		0.610584	
Maff		0.6103463	
Arhgap27		0.61025554	
Serpine1		0.61	
Sh3rf1		0.60992914	
Elf3		0.60872036	
Lss		0.6081272	
Ehd4		0.6073976	
Fasn		0.6063282	
Rassf4		0.6044769	
Man2a2		0.6034017	
Gpsm2		0.60232073	
Slc49a4		0.60152614	
Krt23		0.60046524	
Litaf		0.59905005	
Cd276		0.5989174	
Rgs19		0.5988192	
Nebl		0.59568423	
Man1c1		0.5926629	
Stk11		0.5922527	
Bak1		0.5901362	
Psmb8		0.58943313	
Dut		0.5885691	
Faap100		0.5869655	
Icam1		0.5862471	
Mpzl2		0.58575964	
Gja4		0.58272403	
Ttpal		0.5823662	
Serpinb8		0.582213	
Cfh		0.57797873	
Kcnj15		0.577751	
Mdfic		0.57683593	
Actr1a		0.574927	
Wfs1		0.57358295	
Col5a2		0.5732285	
Txnrd1		0.57091475	
