"gene_id","Mio_vs_WT_log2FoldChange","ZFRP_vs_WT_log2FoldChange","Raptor_vs_WT_log2FoldChange","WT_tpm","SETDB1_GKD_vs_WT_log2FoldChange","Nup154_GKD_vs_WT_log2FoldChange","EzGLKD_vs_wGLKD_log2FoldChange","cluster"
"FBgn0038717",8.66997916926657,-0.545083427172039,0.0214948208041411,0.186321546159237,7.45823272500095,7.82336904614437,4.8892315801227,"c1"
"FBgn0032770",8.65468188188206,3.53404309900405,3.92817695396626,0.0973787660764425,3.9510710176093,3.47281465603587,4.97802840895671,"c1"
"FBgn0032772",8.65052716686096,5.89262280213815,6.94926837996855,0.0352354749376621,4.83342201629415,4.47518783873392,7.51403683672482,"c1"
"FBgn0039789",8.63533819414138,5.22200774534426,4.1716657341033,0.0645903947921098,4.01830581865115,4.22366623882458,3.97034843742225,"c1"
"FBgn0038718",8.62505972947926,-0.223718656352506,0.0905825398055627,0.239853558248767,7.820777438425,7.88139805956204,0.478523598510321,"c1"
"FBgn0032613",8.62020576948753,6.70424590020306,6.60257257931841,0.0310871482886082,3.32256876725637,1.83981431121584,4.45195913742841,"c1"
"FBgn0035583",8.61242719453172,-0.00884219746812425,0.513688994195294,0.205840309949139,3.24075399061888,3.96661903046345,0.849122887042311,"c1"
"FBgn0043783",8.59667436626277,5.93260329871307,5.67025842739677,0.761302901734335,5.02721421733692,5.52751769126865,3.29198902547779,"c1"
"FBgn0034883",8.57941633256482,2.60022906591663,2.32038668707717,0.250423876301624,8.31326907145296,8.11379939403983,3.88563455180857,"c1"
"FBgn0034045",8.57927176945125,2.49772302217448,3.46827085810702,0.0318854139685693,4.78518666828547,3.9646732527203,2.39463573019004,"c1"
"FBgn0035587",8.57188774030705,3.51858812559369,3.73929056333913,0.0686596426390521,3.29594526032012,3.89582816378836,1.59112104657862,"c1"
"FBgn0035452",8.53045980007214,6.48714740288699,5.72842972043081,0.073912695945707,4.73492889116621,4.39058339679565,5.88698557520958,"c1"
"FBgn0038156",8.52275471440389,6.67701015266038,6.76484924321082,0.0074833299111618,4.64134680594288,4.46450538385148,5.84650278629704,"c1"
"FBgn0037683",8.51485727743382,0.515834675559329,2.33687665679044,0.497297246532655,6.17621747778252,6.35479898772762,0.0336417843269725,"c1"
"FBgn0027929",8.50866328027517,7.52838724637197,7.74411538471904,0.039552388912026,2.36982115821344,2.87178096578227,4.03709491570791,"c1"
"FBgn0034479",8.50830827151011,2.18689771634688,4.37004293907688,0.0583258876326882,4.60433823903754,3.71529887273375,4.13240966101161,"c1"
"FBgn0040837",8.50309028193735,3.38205602303827,1.90633479667127,0.322057701734913,6.13681387442338,6.54084953491412,3.61769021880816,"c1"
"FBgn0030544",8.50228716748651,7.84252535011192,7.41975281108224,0.138030531304224,1.41075443010412,3.60172094471186,4.47258337356102,"c1"
"FBgn0037517",8.49768984554422,-0.355802835779061,0.33665986598185,0.121172307801412,8.68430900765184,8.28222642415607,2.37324097036576,"c1"
"FBgn0034262",8.49705469900045,0.926920654666532,2.54993380679522,0.0939264956820992,2.04655401891601,2.28297740432346,5.0831096229862,"c1"
"FBgn0034715",8.45460212614151,-0.580388140916156,0.946403700415899,0.13986628475739,9.04910174187378,8.66821127581742,5.09974567662849,"c1"
"FBgn0046878",8.45322090797914,6.90462419354687,6.03565066123858,0.190781007861053,4.45825727064743,2.68796179130059,5.47174796513304,"c1"
"FBgn0035300",8.45112688027067,-0.36632110410693,0.581339829727795,0.0634672600422458,9.96364167754946,9.53610163056559,4.05398490694991,"c1"
"FBgn0020912",8.45095560787741,-0.586397635131518,0.270051468552077,0.0470894807315888,6.8013382678833,5.40807857526226,3.24539160366286,"c1"
"FBgn0028543",8.41726624876985,6.71841593170001,6.79536807550948,0.367724333971372,3.04424569774546,3.50415614701612,4.90731360814443,"c1"
"FBgn0085455",8.4049853833501,-0.295015549232227,0.501211369496844,0.335754121695542,8.51974105542597,8.49921353929859,0.45621133774677,"c1"
"FBgn0028381",8.4003260284413,-0.455548516211686,0.188729580814751,0.206441973190978,5.03472013494335,5.20887876198027,3.04978471126115,"c1"
"FBgn0036461",8.36735731390327,0.794056841566766,1.27520564870977,0.256058424382609,5.42181529658542,5.37323395130004,5.13771654737091,"c1"
"FBgn0043578",8.35928524007605,3.40286606319289,5.68367842754351,0.0897745226508029,1.88625904292085,1.82473723359756,4.10384843249724,"c1"
"FBgn0038874",8.35072693873895,6.18100884226662,6.97041137440641,0.0263205550653494,4.78280164570009,4.61863168138875,4.82567354352898,"c1"
"FBgn0031517",8.34625166641936,-0.352162440657629,0.402732179444929,0.623637282580686,7.23566155313076,7.21887644174952,8.17775163954126,"c1"
"FBgn0085360",8.34280799002222,6.75233460511563,6.27721512025089,0.467676298110394,4.09971043044247,3.05874090108803,5.24787691008486,"c1"
"FBgn0003515",8.33340032222282,0.647312857190559,2.51838259091888,0.295566756473273,4.66341623283629,4.6086926653555,4.12418260978872,"c1"
"FBgn0014033",8.33159558082349,7.34690344323365,6.2095899360057,0.242880764706241,4.25536088413811,4.74273892218557,3.81084491572814,"c1"
"FBgn0261804",8.32122223344181,7.26592602836439,7.54879193737589,0.00884377825554186,2.63969756464253,6.4946501394641,1.31924734016087,"c1"
"FBgn0031689",8.31310137238474,4.02087910343311,4.81156697872263,0.0461319676267296,6.03145612021919,3.92346165648009,2.52944528534974,"c1"
"FBgn0039873",8.30482383175874,-0.408570020977028,0.379068566383094,0.403362499174446,6.68196917506553,8.09213426205566,8.03322419818833,"c1"
"FBgn0036857",8.29610244783825,4.6199924241732,4.68669377511964,0.510811783670217,2.98628578562387,3.40182248423551,4.13502559214028,"c1"
"FBgn0262022",8.28534614604561,-0.277516762921257,0.49940763810281,0.355059559908214,9.75708092025874,8.81247230406102,1.78911792864985,"c1"
