#Diffusion Coefficient in um^2/s; Linear fit performed on the 4 first points of trajectories > 6 points
#Pixel size= .17um ; Frame rate= .03sec
ROI	Trace	D(um2/s)	MSD(0)	MSE
 2	 23633	 .864958900740923	 .0530615074730198	 .924315538512864
 5	 23660	 .030927602754043	 .0224655034022795	 .429329407020488
 1	 23700	 .147850843958938	 .125710127759141	 .200373426006474
 1	 23795	 .145094001249171	 .04517759021809	 .403388240702319
 5	 23817	 1E-05	 .00737891863044953	 .221990079792469
 2	 23829	 .281484535622812	 .143352772484707	 .318691502075275
 2	 23875	 .0304925678884298	 .108300721747083	 .0888822310281153
 5	 23942	 .0216517979768631	 .0233024428895058	 .372092913260958
 2	 23957	 1E-05	 .183581328736744	 .279248283322344
 1	 23980	 2.84751072235446	-.214876234577116	 .989096940690705
 5	 24013	 .00200364651601522	 .00694198535387685	 .259176473475391
 2	 24031	 .324486909600935	-.0141278637543072	 .931664229184678
 2	 24065	 .0322712316826674	 .0621908350216098	 .145780278581044
 4	 24075	 1E-05	 .00663918415243062	 .419044496594946
 2	 24135	 1E-05	 .121062817422643	 .213153252731581
 4	 24174	 .00470192878819248	 .0026032909410403	 .943606856526893
 3	 24257	 .0576811996929097	 .0743393845848099	 .325110575159684
 4	 24279	 .0126854077449634	 .000924141515064907	 .740258419905958
 2	 24293	 1E-05	 .0267251510602243	 .908451994908135
 3	 24370	 .0232743603149402	 .116465975284083	 .00478917261305944
 2	 24397	 1E-05	 .0333439987231234	 .315291694232347
 2	 24399	 1.71559417187803	-.0836769136658186	 .834139685737035
 2	 24461	 .0793320580528669	 .0545180916820466	 .347984953490981
 5	 24486	 .0380370903129889	 .000215984726081141	 .932989954393358
 3	 24502	 1E-05	 .335387045425477	 .132509685295905
 2	 24537	 1E-05	 .203218010512136	 .500869076750916
 5	 24546	 .0312546418469262	 .017744466371972	 .22778441724637
 4	 24547	 .0127501891871101	 .0154994805900683	 .148965129244696
 2	 24589	 .00986877154830723	 .048386059081127	 .0479968041419531
 5	 24617	 .0114680906128054	 .00690568365508745	 .386432415118921
 4	 24665	 .0226816711895675	 .0263201427002711	 .725279458034062
 2	 24701	 1E-05	 .0252715663642885	 .0175399858966283
 2	 24710	 .0200223497714542	 .0243731123228558	 .548757350507567
 1	 24754	 .0601891173466311	 .023745225311009	 .710554180459243
 5	 24822	 .0124865003342058	 .0159753584560882	 .647344207284089
 2	 25019	 1E-05	 .0791411158953266	 .27634366400052
 2	 25048	 1.78523121146133	-.0785411385108017	 .999269656105626
 5	 25228	 .0233732913077979	 .0164784644573859	 .774759381684377
 1	 25251	 .00130835584753315	 .00838368316613745	 .00413590165684297
 4	 25255	 .032869415892761	 .0471174141779643	 .387469404827867
 2	 25256	 1E-05	 .163457476747896	 .0138305943844476
 2	 25269	 .111825162605458	 .0167362084193351	 .996695453945298
 2	 25378	 .0796617196381	 .144601396267179	 .714797975068249
 2	 25425	 1E-05	 .0902911662829643	 .917116536359999
 1	 25467	 1E-05	 .0360661933735562	 .000281675494580691
 2	 25476	 .574233779480369	 .0782007684034976	 .665815605249347
 2	 25586	 .0512637685576547	 .0567436197617184	 .189679849417363
 5	 25624	 1E-05	 .0106336301832781	 .560621680740186
 2	 25782	 1E-05	 .0537696270091237	 .654357023278689
 2	 25797	 .0426065236984874	 .0303087685899392	 .655145879283853
 1	 25810	 .0308646988229454	 .027059857490372	 .618226100516478
 3	 25876	 1E-05	 .0659765819940345	 .420649739189261
 4	 25933	 1E-05	 .023343212334847	 .985282890236256
 3	 26064	 1E-05	 .0407812816551251	 .571126992023482
 1	 26314	 1E-05	 .0203514472141638	 .558803464885372
 2	 26570	 .107760902664767	 .00511666296507026	 .878125181272498
 5	 26611	 .00526846021975828	 .0109497151237767	 .141693216750183
 1	 26698	 .0572517260251555	 .045602024091128	 .23544052507253
 2	 26705	 1E-05	 .0424903451533587	 .32283666367573
 5	 26724	 1E-05	 .0296816496959693	 .361697024104667
 2	 26749	 1E-05	 .0506155001114788	 .188079929229439
 2	 26765	 1E-05	 .0144571373275312	 .0444839019654468
 3	 26824	 1E-05	 .0181742825866383	 .633979981715364
 4	 26825	 1E-05	 .00702799921798134	 .00589953280945232
 5	 26848	 1E-05	 .0173398446601934	 .00626019251257837
 1	 26912	 1E-05	 .0152215624698982	 .393884929890072
 1	 26914	 1E-05	 .0273127618245067	 .878830673107971
 5	 26959	 .0339212346831105	 .0191849053798764	 .381559323595552
 2	 26988	 1E-05	 .0151571203566226	 .0455130017627629
 5	 27091	 .106591902128606	-.00607033270846497	 .947415922559033
 3	 27169	 .346239629156551	 .0600869302801795	 .914203101134652
 2	 27191	 .0352552298903352	 .0130012941908365	 .945948140322682
 3	 27338	 .0967905971122108	 .0949372651476755	 .49660445882362
 4	 27363	 1E-05	 .0333209349488463	 .839995232882934
 2	 27465	 .00555380731881765	 .0165314924299153	 .165013372030823
 3	 27477	 .249888434564661	 .05065917083648	 .955003572019016
 5	 27501	 .0801709034185171	 .00924511641794695	 .836159864793405
 4	 27575	 .0311569140139637	 .0243486306539078	 .318661006972317
 3	 27592	 .00852394438546897	 .0444581086194244	 .195664370731134
 5	 27619	 .0125286036645875	 .0124025691271976	 .156494220419949
 1	 27854	 .112817823568589	 .0421861493694142	 .291510563368635
 5	 27885	 .044547098999812	 .0165314808582113	 .702262433645911
 2	 27908	 1E-05	 .0474407733523931	 .246696562782584
 1	 27942	 .000353496394384309	 .0122349429886393	 .00072880370202566
 2	 28124	 .117963629628542	-.000491879053192994	 .892066595481627
 1	 28136	 .0213279293382225	 .00988613233180707	 .985978948733499
